
Ecm Reference,Branch Name,Case Creation Date,Customer Name,Amount,Currency,Primary Owner,Case Status,Last Action Taken By,Product,Product Type,Event Name,Applicant Id,Expiry Date,Beneficiary Name
DELTA-25413,,11/11/2022 11:49:36,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25415,,11/11/2022 11:49:36,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25425,,11/11/2022 11:49:51,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25426,,11/11/2022 11:49:51,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25432,,11/11/2022 11:49:51,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25433,,11/11/2022 11:49:50,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25442,,11/11/2022 11:49:53,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25448,,11/11/2022 11:49:55,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25450,,11/11/2022 11:49:55,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25451,,11/11/2022 11:49:54,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25452,,11/11/2022 11:49:54,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25455,,11/11/2022 11:49:54,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25456,,11/11/2022 11:49:55,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25459,,11/11/2022 11:49:55,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25467,,11/11/2022 11:49:57,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25469,,11/11/2022 11:50:04,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25471,,11/11/2022 11:49:58,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25475,,11/11/2022 11:49:58,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25477,,11/11/2022 11:49:59,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25478,,11/11/2022 11:49:59,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25481,,11/11/2022 11:50:00,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25483,,11/11/2022 11:50:00,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25489,,11/11/2022 11:50:02,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25490,,11/11/2022 11:50:01,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25493,,11/11/2022 11:50:02,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25495,,11/11/2022 11:50:03,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25498,,11/11/2022 11:50:03,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25513,,11/07/2020 11:50:06,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25519,,11/07/2020 11:50:07,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25520,,11/07/2020 11:50:08,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25529,,11/07/2020 11:50:20,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25531,,11/07/2020 11:50:20,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25535,,11/07/2020 11:50:21,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25538,,11/07/2020 11:50:22,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25546,,11/07/2020 11:50:22,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25548,,11/07/2020 11:50:23,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25549,,11/07/2020 11:50:23,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25554,,11/07/2020 11:50:24,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25555,,11/07/2020 11:50:25,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25569,,11/07/2020 11:50:29,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25573,,11/07/2020 11:50:29,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25576,,11/07/2020 11:50:38,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25579,,11/07/2020 11:50:31,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25582,,11/07/2020 11:50:30,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25585,,11/07/2020 11:50:31,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25589,,11/07/2020 11:50:32,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25594,,11/07/2020 11:50:34,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25597,,11/07/2020 11:50:34,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25598,,11/07/2020 11:50:37,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25601,,11/07/2020 11:50:36,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25604,,11/07/2020 11:50:36,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25607,,11/07/2020 11:50:37,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25612,,11/07/2020 11:50:38,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25615,,11/07/2020 11:50:40,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25623,,11/07/2020 11:50:43,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25626,,11/07/2020 11:50:41,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25627,,11/07/2020 11:50:41,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25629,,11/07/2020 11:50:41,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25631,,11/07/2020 11:50:42,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25635,,11/07/2020 11:50:43,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25636,,11/07/2020 11:50:44,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25638,,11/07/2020 11:50:44,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25640,,11/07/2020 11:50:45,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25642,,11/07/2020 11:50:44,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25643,,11/07/2020 11:50:45,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25644,,11/07/2020 11:50:45,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25646,,11/07/2020 11:50:45,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25647,,11/07/2020 11:50:46,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25653,,11/07/2020 11:50:50,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25658,,11/07/2020 11:50:59,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25659,,11/07/2020 11:51:00,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25660,,11/07/2020 11:50:59,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25662,,11/07/2020 11:51:01,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25666,,11/07/2020 11:51:05,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25667,,11/07/2020 11:51:02,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25669,,11/07/2020 11:51:02,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25670,,11/07/2020 11:51:03,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25671,,11/07/2020 11:51:02,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25672,,11/07/2020 11:51:04,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25674,,11/07/2020 11:51:03,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25679,,11/07/2020 11:51:04,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25681,,11/07/2020 11:51:05,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25684,,11/07/2020 11:51:07,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25685,,11/07/2020 11:51:07,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25687,,11/07/2020 11:51:07,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25689,,11/07/2020 11:51:13,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25692,,11/07/2020 11:51:16,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25693,,11/07/2020 11:51:16,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25694,,11/07/2020 11:51:18,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25696,,11/07/2020 11:51:20,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25699,,11/07/2020 11:51:20,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25700,,11/07/2020 11:51:21,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25705,,11/07/2020 11:51:21,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25707,,11/07/2020 11:51:22,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25708,,11/07/2020 11:51:25,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25712,,11/07/2020 11:51:24,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25713,,11/07/2020 11:51:23,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25716,,11/07/2020 11:51:25,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25720,,11/07/2020 11:51:25,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25721,,11/07/2020 11:51:32,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25724,,11/07/2020 11:51:26,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25733,,11/07/2020 11:51:38,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25735,,11/07/2020 11:51:46,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25737,,11/07/2020 11:51:42,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25740,,11/07/2020 11:51:44,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25744,,11/07/2020 11:51:45,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25747,,11/07/2020 11:51:45,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25750,,11/07/2020 11:51:46,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25752,,11/07/2020 11:51:46,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25753,,11/07/2020 11:51:47,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25757,,11/07/2020 11:51:51,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25758,,11/07/2020 11:51:50,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25761,,11/07/2020 11:51:57,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25766,,11/07/2020 11:52:00,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25770,,11/07/2020 11:52:00,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25771,,11/07/2020 11:52:04,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25774,,11/07/2020 11:52:01,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25778,,11/07/2020 11:52:02,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25781,,11/07/2020 11:52:03,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25784,,11/07/2020 11:52:03,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25785,,11/07/2020 11:52:02,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25788,,11/07/2020 11:52:03,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25790,,11/07/2020 11:52:06,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25791,,11/07/2020 11:52:04,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25793,,11/07/2020 11:52:05,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25796,,11/07/2020 11:52:07,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25797,,11/07/2020 11:52:05,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25803,,11/07/2020 11:52:07,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25809,,11/07/2020 11:52:08,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25810,,11/07/2020 11:52:08,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25818,,11/07/2020 11:52:16,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25825,,11/07/2020 11:52:23,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25831,,11/07/2020 11:52:25,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25834,,11/07/2020 11:52:23,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25837,,11/07/2020 11:52:24,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25838,,11/07/2020 11:52:25,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25840,,11/07/2020 11:52:31,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25841,,11/07/2020 11:52:26,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25850,,11/07/2020 11:52:28,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25851,,11/07/2020 11:52:34,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25852,,11/07/2020 11:52:28,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25859,,11/07/2020 11:52:36,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25860,,11/07/2020 11:52:40,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25862,,11/07/2020 11:52:42,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25864,,11/07/2020 11:52:45,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25865,,11/07/2020 11:52:44,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25868,,11/07/2020 11:52:46,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25869,,11/07/2020 11:52:45,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25871,,11/07/2020 11:52:45,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25874,,11/07/2020 11:52:47,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25878,,11/07/2020 11:52:47,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25882,,11/07/2020 11:52:48,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25883,,11/07/2020 11:52:50,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25884,,11/07/2020 11:52:50,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25888,,11/07/2020 11:52:51,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25890,,11/07/2020 11:52:51,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25894,,11/07/2020 11:52:52,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25896,,11/07/2020 11:52:52,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25898,,11/07/2020 11:52:56,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25904,,11/07/2020 11:52:54,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25911,,11/07/2020 11:53:03,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25917,,11/07/2020 11:53:07,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25920,,11/07/2020 11:53:06,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25925,,11/07/2020 11:53:08,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25926,,11/07/2020 11:53:08,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25928,,11/07/2020 11:53:06,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25930,,11/07/2020 11:53:08,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25937,,11/07/2020 11:53:09,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25938,,11/07/2020 11:53:09,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25940,,11/07/2020 11:53:10,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25943,,11/07/2020 11:53:11,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25945,,11/07/2020 11:53:10,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25951,,11/07/2020 11:53:13,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25954,,11/07/2020 11:53:12,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25956,,11/07/2020 11:53:12,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25957,,11/07/2020 11:53:13,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25958,,11/07/2020 11:53:12,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25959,,11/07/2020 11:53:22,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25962,,11/07/2020 11:53:18,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25963,,11/07/2020 11:53:18,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25966,,11/07/2020 11:53:20,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25971,,11/07/2020 11:53:30,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25972,,11/07/2020 11:53:31,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25974,,11/07/2020 11:53:33,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25975,,11/07/2020 11:53:32,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25986,,11/07/2020 11:53:33,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25988,,11/07/2020 11:53:33,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25989,,11/07/2020 11:53:33,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25990,,11/07/2020 11:53:35,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25991,,11/07/2020 11:53:34,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25992,,11/07/2020 11:53:34,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25994,,11/07/2020 11:53:34,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-25998,,11/07/2020 11:53:35,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26004,,11/07/2020 11:53:36,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26005,,11/07/2020 11:53:37,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26014,,11/07/2020 11:53:41,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26019,,11/07/2020 11:53:38,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26029,,11/07/2020 11:53:54,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26031,,11/07/2020 11:53:53,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26041,,11/07/2020 11:53:54,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26050,,11/07/2020 11:53:57,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26053,,11/07/2020 11:53:57,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26054,,11/07/2020 11:53:58,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26057,,11/07/2020 11:53:59,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26060,,11/07/2020 11:54:00,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26064,,11/07/2020 11:54:00,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26065,,11/07/2020 11:54:00,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26067,,11/07/2020 11:54:01,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26071,,11/07/2020 11:54:05,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26072,,11/07/2020 11:54:01,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26076,,11/07/2020 11:54:03,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26079,,11/07/2020 11:54:04,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26080,,11/07/2020 11:54:06,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26085,,11/07/2020 11:54:05,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26090,,11/07/2020 11:54:06,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26091,,11/07/2020 11:54:08,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26092,,11/07/2020 11:54:09,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26094,,11/07/2020 11:54:08,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26097,,11/07/2020 11:54:08,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26100,,11/07/2020 11:54:09,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26101,,11/07/2020 11:54:10,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26103,,11/07/2020 11:54:16,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26105,,11/07/2020 11:54:10,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26108,,11/07/2020 11:54:10,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26109,,11/07/2020 11:54:11,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26114,,11/07/2020 11:54:12,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26119,,11/07/2020 11:54:13,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26128,,11/07/2020 11:54:14,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26131,,11/07/2020 11:54:15,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26134,,11/07/2020 11:54:18,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26140,,11/07/2020 11:54:17,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26141,,11/07/2020 11:54:17,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26143,,11/07/2020 11:54:18,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26144,,11/07/2020 11:54:18,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26146,,11/07/2020 11:54:19,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26149,,11/07/2020 11:54:20,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26151,,11/07/2020 11:54:19,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26154,,11/07/2020 11:54:20,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26155,,11/07/2020 11:54:20,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26157,,11/07/2020 11:54:20,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26171,,11/07/2020 11:54:32,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26174,,11/07/2020 11:54:32,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26178,,11/07/2020 11:54:33,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26179,,11/07/2020 11:54:32,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26181,,11/07/2020 11:54:33,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26183,,11/07/2020 11:54:34,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26184,,11/07/2020 11:54:34,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26188,,11/07/2020 11:54:35,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26192,,11/07/2020 11:54:43,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26195,,11/07/2020 11:54:35,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26201,,11/07/2020 11:54:36,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26207,,11/07/2020 11:54:37,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26210,,11/07/2020 11:54:39,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26214,,11/07/2020 11:54:39,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26220,,11/07/2020 11:54:40,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26227,,11/07/2020 11:54:41,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26230,,11/07/2020 11:54:42,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26233,,11/07/2020 11:54:42,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26235,,11/07/2020 11:54:43,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26236,,11/07/2020 11:54:44,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26237,,11/07/2020 11:54:44,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26248,,11/07/2020 11:54:45,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26252,,11/07/2020 11:54:47,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26255,,11/07/2020 11:54:53,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26258,,11/07/2020 11:54:53,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26276,,11/07/2020 11:54:55,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26280,,11/07/2020 11:54:56,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26281,,11/07/2020 11:54:57,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26282,,11/07/2020 11:54:57,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26284,,11/07/2020 11:54:59,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26286,,11/07/2020 11:54:58,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26287,,11/07/2020 11:54:57,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26289,,11/07/2020 11:54:58,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26293,,11/07/2020 11:54:59,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26297,,11/07/2020 11:55:02,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26310,,11/07/2020 11:55:02,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26311,,11/07/2020 11:55:02,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26316,,11/11/2020 11:55:08,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26320,,11/11/2020 11:55:03,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26323,,11/11/2020 11:55:04,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26325,,11/11/2020 11:55:04,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26328,,11/11/2020 11:55:05,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26337,,11/11/2020 11:55:17,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26340,,11/11/2020 11:55:20,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26341,,11/11/2020 11:55:19,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26344,,11/11/2020 11:55:20,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26346,,11/11/2020 11:55:20,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26352,,11/11/2020 11:55:22,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26359,,11/11/2020 11:55:22,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26360,,11/11/2020 11:55:22,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26365,,11/11/2020 11:55:29,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26369,,11/11/2020 11:55:30,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26370,,11/11/2020 11:55:31,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26373,,11/11/2020 11:55:33,,0,null,,Sanction New,deltaadmin,,,,,,
DELTA-26377,,11/11/2020 11:55:32,,0,null,,Sanction New,deltaadmin,,,,,,
